epoch,train_loss,val_loss,val_acc,precision,recall,f1_score
1,0.6918392620893158,0.6898301566686291,0.5199263066033162,0.5199263066033162,1.0,0.68414673046252
2,0.4665550298762674,0.18302023408196316,0.9486085523126151,0.9603658536585366,0.9399477806788512,0.9500471253534402
3,0.17128874448367315,0.1325626331345829,0.9608261417628237,0.9568743088831552,0.9682954121596419,0.9625509825732295
4,0.14831775813620302,0.1140208510833881,0.9642199166101038,0.9528387447850535,0.9796717642670645,0.9660689655172414
5,0.13521636739694343,0.14396623991705057,0.9603413167846407,0.9779965257672264,0.9449832152182022,0.9612064877169686
6,0.12314179409837807,0.10914271153797872,0.9650926015708329,0.9763809523809523,0.9559865721745617,0.9660761402186204
7,0.11449591962313316,0.09528963434688106,0.9715892562784835,0.9661578076144933,0.9796717642670645,0.9728678581350125
8,0.10795644727587889,0.08743978437033748,0.9729467662173955,0.9754911131898971,0.9723983588213353,0.9739422807509106
9,0.1093269940473314,0.09203743498707724,0.9719771162610298,0.9779536461277558,0.9679224170085788,0.9729121754616178
10,0.10123333889958147,0.08934960031641173,0.9731406962086687,0.9774647887323944,0.9707198806415517,0.9740806587442687
11,0.09870433459865924,0.08572741615807503,0.9744982061475808,0.9619496285558978,0.9901156284968295,0.9758294274423307
12,0.09418907785800489,0.13402886997030944,0.9528750121206244,0.9248867201115372,0.9897426333457665,0.9562162162162162
13,0.09539586646948908,0.07918508959888781,0.9762435760690391,0.9728331177231565,0.9817232375979112,0.9772579597141
14,0.09121284446314076,0.09690914037926843,0.9701347813439348,0.9820679130103014,0.9600895188362552,0.970954356846473
15,0.09465457351314122,0.08679431493580197,0.9741103461650344,0.9632660483724313,0.9878776575904513,0.9754166283031028
16,0.08882695677960308,0.07687057582192823,0.9771162610297682,0.9720073664825046,0.9843342036553525,0.9781319495922906
17,0.0892134646508897,0.07449444617527388,0.9775041210123145,0.9739467849223947,0.9830287206266318,0.9784666790421385
18,0.08602563872183057,0.12714785667714087,0.9547173470377194,0.9242503033454672,0.9944050727340544,0.9580450992723025
19,0.08355675639998715,0.08272596558038148,0.9744982061475808,0.9759193578495426,0.9750093248787766,0.975464129116522
20,0.08418961798788446,0.08037136169570393,0.9749830311257636,0.9606498194945848,0.9925400969787392,0.9763346175013758
21,0.07897490903511195,0.07633757615937134,0.9777950159992242,0.9692814042786615,0.9886236478925774,0.9788569845812944
22,0.08065854630224036,0.09880354484398896,0.9682924464268399,0.9480334579106603,0.9934725848563969,0.9702212913213732
23,0.07899098588389342,0.09056829391767095,0.9715892562784835,0.9834064466908259,0.9615814994405073,0.9723715228665724
24,0.07775465812590956,0.07400398302386586,0.9777950159992242,0.9773107680862935,0.9800447594181275,0.9786758543626036
25,0.07435565250778388,0.07712472202183174,0.9774071560166779,0.9677184023344885,0.9895561357702349,0.9785154449054864
26,0.07506563640789746,0.07456973380780609,0.9775041210123145,0.9797979797979798,0.9768743006340918,0.9783339559208069
27,0.07443405048699155,0.07382253062171096,0.9777950159992242,0.9696248856358646,0.9882506527415144,0.9788491733628891
28,0.0709266190548811,0.07875665253916701,0.9775041210123145,0.9803370786516854,0.9763148079074973,0.9783218090076621
29,0.06995372948792812,0.07845996516825075,0.9785707359643169,0.9759303832623588,0.9830287206266318,0.9794666914429062
30,0.07537532084814791,0.07140897922535722,0.9798312809075923,0.9731913330885054,0.9884371503170459,0.9807549962990377
31,0.06935794557564523,0.07443781429382461,0.9789585959468632,0.971412864211105,0.9886236478925774,0.9799426934097422
32,0.0692181379901245,0.08636694017685369,0.9729467662173955,0.9840030470386593,0.963632972771354,0.9737114859135023
33,0.06855585992908607,0.06921368702566295,0.9795403859206826,0.9740474875759249,0.9869451697127938,0.9804539138490042
34,0.06697109869456189,0.07239368749197443,0.9787646659555901,0.9759392929853785,0.9834017157776949,0.9796562935438923
35,0.06624910455051997,0.07243862213707956,0.9781828759817706,0.9710251237850724,0.9875046624393883,0.9791955617198336
36,0.06440359978210629,0.07431059030525716,0.9786677009599535,0.9738297088094361,0.9854531891085416,0.9796069707081942
37,0.06360102799300635,0.12624464315386386,0.9611170367497334,0.9879992130631516,0.9365908243192839,0.9616084250837721
38,0.06484291582660853,0.07759540623277325,0.9772132260254048,0.9673655423883318,0.9895561357702349,0.9783350235088043
39,0.06146711143718665,0.07579398030915652,0.9770192960341316,0.9659938170576469,0.990675121223424,0.9781788048982598
